X_pos,Y_pos,Z_pos,X_pos_ref,Y_pos_ref,Z_pos_ref,X_vel,Y_vel,Z_vel,X_vel_ref,Y_vel_ref,Z_vel_ref,X_pos_err,X_pos_err_upper,X_pos_err_lower,Y_pos_err,Y_pos_err_upper,Y_pos_err_lower,Z_pos_err,Z_pos_err_upper,Z_pos_err_lower,X_vel_err,X_vel_err_upper,X_vel_err_lower,Y_vel_err,Y_vel_err_upper,Y_vel_err_lower,Z_vel_err,Z_vel_err_upper,Z_vel_err_lower
0,0,0,-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.64339593],[-4.8003487],[2.05647682],0.0,0.0,0.0,[-12.02953773],45.0,-45.0,[9.12810615],45.0,-45.0,[-4.99429576],45.0,-45.0,[-0.96081661],9.486832980505138,-9.486832980505138,[5.34900488],,,[-2.51217884],,
[0.03151799],[-0.09880142],[0.03771118],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.57589941],[-4.94007088],[1.88555883],0.0,0.0,0.0,[-12.0558999],45.000404998177515,-45.000404998177515,[9.235768],45.000404998177515,-45.000404998177515,[-5.04366396],45.000404998177515,-45.000404998177515,[-1.31810867],9.489204392360826,-9.489204392360826,[5.38309248],,,[-2.46840979],,
[0.07170518],[-0.19649796],[0.07096546],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.00935939],[-4.88482702],[1.66271402],0.0,0.0,0.0,[-12.07930725],45.00161017119276,-45.00161017119276,[9.3424117],45.00161017119276,-45.00161017119276,[-5.0962135],45.00161017119276,-45.00161017119276,[-1.17036741],9.491575211733826,-9.491575211733826,[5.33218485],,,[-2.62747686],,
[0.11727633],[-0.29097002],[0.10313132],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.27855788],[-4.72360321],[1.60829304],0.0,0.0,0.0,[-12.09958002],45.00361585472882,-45.00361585472882,[9.45025058],45.00361585472882,-45.00361585472882,[-5.14578316],45.00361585472882,-45.00361585472882,[-1.01363846],9.493945439067996,-9.493945439067996,[5.39194404],,,[-2.47848336],,
[0.15775272],[-0.38212414],[0.14303374],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.02381935],[-4.55770603],[1.99512118],0.0,0.0,0.0,[-12.11910946],45.00642234170585,-45.00642234170585,[9.56117909],45.00642234170585,-45.00642234170585,[-5.19470721],45.00642234170585,-45.00642234170585,[-0.97647196],9.49631507480665,-9.49631507480665,[5.54642539],,,[-2.44620224],,
[0.19816888],[-0.47122819],[0.18391823],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.02080776],[-4.45520216],[2.04422462],0.0,0.0,0.0,[-12.12521822],45.01002988223846,-45.01002988223846,[9.67669089],45.01002988223846,-45.01002988223846,[-5.23972234],45.01002988223846,-45.01002988223846,[-0.30543809],9.498684119392541,-9.498684119392541,[5.77559035],,,[-2.2507564],,
[0.23550547],[-0.5646048],[0.22439699],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.86682957],[-4.66883085],[2.02393791],0.0,0.0,0.0,[-12.1316473],45.01443868360461,-45.01443868360461,[9.79322991],45.01443868360461,-45.01443868360461,[-5.28461269],45.01443868360461,-45.01443868360461,[-0.32145418],9.501052573267872,-9.501052573267872,[5.82695084],,,[-2.24451756],,
[0.27512633],[-0.65428935],[0.27099481],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.98104301],[-4.48422725],[2.32989097],0.0,0.0,0.0,[-12.14505022],45.01964891022584,-45.01964891022584,[9.90853567],45.01964891022584,-45.01964891022584,[-5.32635523],45.01964891022584,-45.01964891022584,[-0.67014596],9.503420436874297,-9.503420436874297,[5.76528798],,,[-2.08712698],,
[0.31672265],[-0.73847456],[0.32411134],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.07981614],[-4.20926046],[2.65582643],0.0,0.0,0.0,[-12.14686493],45.02566068365904,-45.02566068365904,[10.02497992],45.02566068365904,-45.02566068365904,[-5.37337083],45.02566068365904,-45.02566068365904,[-0.09073537],9.50578771065292,-9.50578771065292,[5.82221238],,,[-2.35078011],,
[0.35779481],[-0.82757238],[0.37098385],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.05360816],[-4.45489138],[2.34362566],0.0,0.0,0.0,[-12.14802277],45.032474082599535,-45.032474082599535,[10.14514103],45.032474082599535,-45.032474082599535,[-5.41395122],45.032474082599535,-45.032474082599535,[-0.05789198],9.50815439504429,-9.50815439504429,[6.0080556],,,[-2.02901961],,
